V,c,relation_to_V,pure_equilibria,number_of_pure_equilibria,nashpy_equilibria,pure_methods_agree,interior_analytical_mixed_applies,analytical_p_research,nashpy_mixed_p_research_agent_a,nashpy_mixed_p_research_agent_b,analytical_and_nashpy_mixed_agree,nashpy_warnings
4,0,zero-cost boundary,"(Research, Research), (Research, Skip), (Skip, Research)",3,"[{""agent_a"": [1.0, 0.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Research""]}, {""agent_a"": [1.0, 0.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Skip""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Research""]}]",True,False,,,,,[]
4,1,interior,"(Research, Skip), (Skip, Research)",2,"[{""agent_a"": [1.0, 0.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Skip""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Research""]}, {""agent_a"": [0.75, 0.25], ""agent_b"": [0.75, 0.25], ""classification"": ""mixed"", ""pure_profile"": null}]",True,True,0.75,0.75,0.75,True,[]
4,2,interior,"(Research, Skip), (Skip, Research)",2,"[{""agent_a"": [1.0, 0.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Skip""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Research""]}, {""agent_a"": [0.5, 0.5], ""agent_b"": [0.5, 0.5], ""classification"": ""mixed"", ""pure_profile"": null}]",True,True,0.5,0.5,0.5,True,[]
4,3,interior,"(Research, Skip), (Skip, Research)",2,"[{""agent_a"": [1.0, 0.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Skip""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Research""]}, {""agent_a"": [0.25, 0.75], ""agent_b"": [0.25, 0.75], ""classification"": ""mixed"", ""pure_profile"": null}]",True,True,0.25,0.25,0.25,True,[]
4,4,equal-value boundary,"(Research, Skip), (Skip, Research), (Skip, Skip)",3,"[{""agent_a"": [1.0, 0.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Research"", ""Skip""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [1.0, 0.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Research""]}, {""agent_a"": [0.0, 1.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Skip""]}]",True,False,,,,,[]
4,5,high-cost,"(Skip, Skip)",1,"[{""agent_a"": [0.0, 1.0], ""agent_b"": [0.0, 1.0], ""classification"": ""pure"", ""pure_profile"": [""Skip"", ""Skip""]}]",True,False,,,,,[]
